ID,Name,negeri_id
101,BATU PAHAT,1
102,JOHOR BAHRU,1
103,KLUANG,1
104,KOTA TINGGI,1
105,MERSING,1
106,MUAR,1
107,PONTIAN,1
108,SEGAMAT,1
121,KULAI,1
122,TANGKAK,1
201,KOTA SETAR,2
202,KUBANG PASU,2
203,PADANG TERAP,2
204,LANGKAWI,2
205,KUALA MUDA,2
206,YAN,2
207,SIK,2
208,BALING,2
209,KULIM,2
210,BANDAR BAHARU,2
211,PENDANG,2
212,POKOK SENA,2
301,BACHOK,3
302,KOTA BHARU,3
303,MACHANG,3
304,PASIR MAS,3
305,PASIR PUTEH,3
306,TANAH MERAH,3
307,TUMPAT,3
308,GUA MUSANG,3
310,KUALA KRAI,3
311,JELI,3
312,KECIL LOJING,3
401,MELAKA TENGAH,4
402,JASIN,4
403,ALOR GAJAH,4
501,JELEBU,5
502,KUALA PILAH,5
503,PORT DICKSON ,5
504,REMBAU,5
505,SEREMBAN,5
506,TAMPIN,5
507,JEMPOL,5
601,BENTONG,6
602,CAMERON HIGHLANDS,6
603,JERANTUT,6
604,KUANTAN,6
605,LIPIS,6
606,PEKAN,6
607,RAUB,6
608,TEMERLOH,6
609,ROMPIN,6
610,MARAN,6
611,BERA,6
701,SEBERANG PERAI TENGAH,7
702,SEBERANG PERAI UTARA,7
703,SEBERANG PERAI SELATAN,7
704,TIMOR LAUT ,7
705,BARAT DAYA,7
801,BATANG PADANG,8
802,MANJUNG,8
803,KINTA,8
804,KERIAN,8
805,KUALA KANGSAR,8
806,LARUT & MATANG,8
807,HILIR PERAK,8
808,HULU PERAK,8
809,SELAMA,8
810,PERAK TENGAH,8
811,KAMPAR,8
812,MUALLIM,8
813,BAGAN DATUK,8
900,TIADA DAERAH,9
1001,KLANG,10
1002,KUALA LANGAT,10
1004,KUALA SELANGOR,10
1005,SABAK BERNAM,10
1006,ULU LANGAT,10
1007,ULU SELANGOR,10
1008,PETALING,10
1009,GOMBAK,10
1010,SEPANG,10
1101,BESUT,11
1102,DUNGUN,11
1103,KEMAMAN,11
1104,KUALA TERENGGANU,11
1105,HULU TERENGGANU,11
1106,MARANG,11
1107,SETIU,11
1108,KUALA NERUS,11
1201,KOTA KINABALU,12
1202,PAPAR ,12
1203,KOTA BELUD,12
1204,TUARAN,12
1205,KUDAT,12
1206,RANAU,12
1207,SANDAKAN,12
1208,LABUK & SUGUT ,12
1209,KINABATANGAN,12
1210,TAWAU,12
1211,LAHAD DATU,12
1212,SEMPORNA,12
1213,KENINGAU,12
1214,TAMBUNAN,12
1215,PENSIANGAN,12
1216,TENOM,12
1217,BEAUFORT,12
1218,KUALA PENYU,12
1219,SIPITANG,12
1221,PENAMPANG,12
1222,KOTA MARUDU,12
1223,PITAS,12
1224,KUNAK,12
1225,TONGOD,12
1226,PUTATAN,12
1301,KUCHING,13
1302,SRI AMAN,13
1303,SIBU,13
1304,MIRI,13
1305,LIMBANG,13
1306,SARIKEI,13
1307,KAPIT,13
1308,SAMARAHAN,13
1309,BINTULU,13
1310,MUKAH,13
1311,BETONG,13
1400,TIADA DAERAH,14
1500,WILAYAH PERSEKUTUAN LABUAN,15
1601,PUTRAJAYA,16
1602,TIDAK DIISI,17
