id,name,negeri_id,daerah_id,mukim_id
10101001,KAMPUNG SUNGAI KAJANG,1,101,10101
10101002,KAMPUNG BAGAN,1,101,10101
10101003,KAMPUNG GAMBUT MUKIM 2 BAGAN,1,101,10101
10101004,KAMPUNG SEKAWAN DESA,1,101,10101
10102001,KAMPUNG BAHRU LAM LEE,1,101,10102
10103001,KAMPUNG PARIT BOTAK,1,101,10103
10103002,KAMPUNG PARIT KALONG GANTUNG,1,101,10103
10103003,KAMPUNG PARIT KADIR,1,101,10103
10103004,KAMPUNG PARIT SAIDI,1,101,10103
10103005,KAMPUNG SUNGAI BULOH,1,101,10103
10103006,KAMPUNG PARIT SRI DALAM,1,101,10103
10103007,KAMPUNG PARIT MAHANG,1,101,10103
10103008,KAMPUNG PARIT KEMANG,1,101,10103
10103009,KAMPUNG PARIT MAKMUR,1,101,10103
10103010,KAMPUNG PARIT BAKONG,1,101,10103
10104001,KAMPUNG PARIT LAHAK,1,101,10104
10104002,KAMPUNG SRI BENGKAL,1,101,10104
10104003,KAMPUNG PARIT KASSIM,1,101,10104
10104004,KAMPUNG TONGKANG PECHAH,1,101,10104
10104005,KAMPUNG PARIT JORAK,1,101,10104
10104006,KAMPUNG BINDU,1,101,10104
10104007,KAMPUNG SRI TELOK,1,101,10104
10104008,KAMPUNG PARIT YAANI,1,101,10104
10104009,KAMPUNG BELEMAM,1,101,10104
10104010,KAMPUNG PARIT ISMAIL,1,101,10104
10105001,KAMPUNG SERI PENGKALAN,1,101,10105
10105002,KAMPUNG SERI UTAMA,1,101,10105
10105003,KAMPUNG SERI MAKMUR,1,101,10105
10105004,KAMPUNG SEMERAH,1,101,10105
10105005,KAMPUNG PARIT LUBOK,1,101,10105
10106001,KAMPUNG SUNGAI LURUS,1,101,10106
10106002,KAMPUNG BUKIT BATU,1,101,10106
10106003,KAMPUNG TANJUNG LABOH,1,101,10106
10106004,KAMPUNG SUNGAI SULOH,1,101,10106
10106005,KAMPUNG BARU SENGGARANG,1,101,10106
10106006,KAMPUNG TELOK BULOH,1,101,10106
10106007,KAMPUNG SUNGAI AYAM,1,101,10106
10106008,KAMPUNG PARIT PERMATANG,1,101,10106
10106009,KAMPUNG PARIT JABAR,1,101,10106
10106010,KAMPUNG SERI MOLEK,1,101,10106
10107001,KAMPUNG GOMBAK,1,101,10107
10107002,KAMPUNG SUNGAI KELAMBU,1,101,10107
10107003,KAMPUNG PESERAI,1,101,10107
10108001,KAMPUNG AYER HITAM PEKAN,1,101,10108
10108002,KAMPUNG KOTA DALAM,1,101,10108
10108003,KAMPUNG SERI BUNGSU,1,101,10108
10108004,KAMPUNG SRI PAYA,1,101,10108
10108005,KAMPUNG PARIT HAJI ALI,1,101,10108
10108006,PARIT RAJA,1,101,10108
10108007,KAMPUNG PARIT SEMPADAN,1,101,10108
10108008,KAMPUNG SRI PANDAN,1,101,10108
10108009,KAMPUNG BAHARU,1,101,10108
10108010,KAMPUNG SEMEREK,1,101,10108
10108011,KAMPUNG PARIT JELUTONG,1,101,10108
10109001,KAMPUNG PARIT LAMAN,1,101,10109
10109002,KAMPUNG KANGKAR SENANGAR,1,101,10109
10109003,KAMPUG SRI MENANTI,1,101,10109
10109004,KAMPUNG PARIT PULAI,1,101,10109
10109005,KAMPUNG SRI MEDAN,1,101,10109
10109006,KAMPUNG SRI MEDAN,1,101,10109
10109007,KAMPUNG PARIT WARIJO,1,101,10109
10109008,KAMPUNG PARIT SULONG,1,101,10109
10109009,KAMPUNG SRI PASIR,1,101,10109
10109010,KAMPUNG KANGKAR MERLIMAU,1,101,10109
10109011,KAMPUNG SRI WANGI,1,101,10109
10109012,KAMPUNG PARIT BARU,1,101,10109
10109013,KAMPUNG BUKIT BETALING,1,101,10109
10109014,KAMPUNG PARIT JAYOS,1,101,10109
10110001,KAMPUNG BANANG,1,101,10110
10110002,KAMPUNG PARIT BESAR,1,101,10110
10110003,KAMPUNG PARIT LAPIS,1,101,10110
10110004,KAMPUNG PARIT BILAL,1,101,10110
10110005,KAMPUNG PETANI,1,101,10110
10110006,KAMPUNG PANCHOR,1,101,10110
10110007,KAMPUNG SRI GADING,1,101,10110
10110008,KAMPUNG LINAU KECHIL,1,101,10110
10111001,KAMPUNG PARIT OTHMAN,1,101,10111
10111002,KAMPUNG PARIT ABDUL RAHMAN,1,101,10111
10111003,KAMPUNG PARIT SELULUN,1,101,10111
10111004,KAMPUNG PARIT LAPIS MAIMON,1,101,10111
10111005,KAMPUNG PARIT MOHAMAD,1,101,10111
10111006,KAMPUNG SEPARAP,1,101,10111
10111007,KAMPUNG PARIT JU,1,101,10111
10111008,KAMPUNG MAMPAN,1,101,10111
10111009,KAMPUNG ASAM KUMBANG,1,101,10111
10111010,KAMPUNG PAIT SULONG,1,101,10111
10111011,KAMPUNG PARIT PENGHULU,1,101,10111
10111012,KAMPUNG PARIT JALIL,1,101,10111
10111013,KAMPUNG PARIT JAWA,1,101,10111
